"filename", "language", "Batch", "JSON with Comments", "TypeScript", "SCSS", "vue", "Markdown", "HTML", "XML", "Python", "JSON", "YAML", "Ruby", "comment", "blank", "total"
"c:\Users\abc15\Desktop\Universal Translator\Application.spec", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 1, 6, 52
"c:\Users\abc15\Desktop\Universal Translator\README.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\abc15\Desktop\Universal Translator\build.bat", "Batch", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\abc15\Desktop\Universal Translator\dist\global_config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\abc15\Desktop\Universal Translator\dist\plugins\TextParser\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
"c:\Users\abc15\Desktop\Universal Translator\dist\plugins\TextParser\rules - 副本.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\abc15\Desktop\Universal Translator\dist\plugins\TextParser\rules.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\abc15\Desktop\Universal Translator\dist\plugins\Translator\DeepL\config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\abc15\Desktop\Universal Translator\dist\plugins\Translator\OpenAI\config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\abc15\Desktop\Universal Translator\dist\plugins\Translator\OpenAI\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 16, 20, 71
"c:\Users\abc15\Desktop\Universal Translator\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 8, 19, 81
"c:\Users\abc15\Desktop\Universal Translator\module\OShelper.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 8, 49, 222
"c:\Users\abc15\Desktop\Universal Translator\module\Task.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 6, 18, 112
"c:\Users\abc15\Desktop\Universal Translator\module\TextParse.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 22, 60, 292
"c:\Users\abc15\Desktop\Universal Translator\module\Translate.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 21, 94
"c:\Users\abc15\Desktop\Universal Translator\module\debounce.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 9, 9, 32
"c:\Users\abc15\Desktop\Universal Translator\module\env.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 3, 12
"c:\Users\abc15\Desktop\Universal Translator\module\network.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 20, 13, 53
"c:\Users\abc15\Desktop\Universal Translator\module\pywebview.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 2, 12, 61
"c:\Users\abc15\Desktop\Universal Translator\package with console.bat", "Batch", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\abc15\Desktop\Universal Translator\package.bat", "Batch", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\abc15\Desktop\Universal Translator\vue\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 5, 1, 19
"c:\Users\abc15\Desktop\Universal Translator\vue\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 1, 32
"c:\Users\abc15\Desktop\Universal Translator\vue\src\App.vue", "vue", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 2, 4, 35
"c:\Users\abc15\Desktop\Universal Translator\vue\src\assets\vue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\abc15\Desktop\Universal Translator\vue\src\components.d.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 40
"c:\Users\abc15\Desktop\Universal Translator\vue\src\components\Config.vue", "vue", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\abc15\Desktop\Universal Translator\vue\src\components\Sash.vue", "vue", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 16, 120
"c:\Users\abc15\Desktop\Universal Translator\vue\src\env.d.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9
"c:\Users\abc15\Desktop\Universal Translator\vue\src\func.ts", "TypeScript", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 100
"c:\Users\abc15\Desktop\Universal Translator\vue\src\layouts\Menu.vue", "vue", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 11, 68
"c:\Users\abc15\Desktop\Universal Translator\vue\src\layouts\Opreate.vue", "vue", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 9, 57
"c:\Users\abc15\Desktop\Universal Translator\vue\src\layouts\TreeView.vue", "vue", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 13, 71
"c:\Users\abc15\Desktop\Universal Translator\vue\src\main.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 28
"c:\Users\abc15\Desktop\Universal Translator\vue\src\monaco_editor.ts", "TypeScript", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 80
"c:\Users\abc15\Desktop\Universal Translator\vue\src\router\index.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 27
"c:\Users\abc15\Desktop\Universal Translator\vue\src\styles\element\dark.scss", "SCSS", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\abc15\Desktop\Universal Translator\vue\src\styles\element\index.scss", "SCSS", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 43
"c:\Users\abc15\Desktop\Universal Translator\vue\src\styles\index.scss", "SCSS", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 26
"c:\Users\abc15\Desktop\Universal Translator\vue\src\view\Main.vue", "vue", 0, 0, 0, 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 39, 276
"c:\Users\abc15\Desktop\Universal Translator\vue\src\view\Setting.vue", "vue", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 12, 109
"c:\Users\abc15\Desktop\Universal Translator\vue\src\view\TaskList.vue", "vue", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 16, 105
"c:\Users\abc15\Desktop\Universal Translator\vue\tsconfig.json", "JSON with Comments", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 24
"c:\Users\abc15\Desktop\Universal Translator\vue\vite.config.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 66
"Total", "-", 8, 17, 287, 53, 745, 1, 13, 1, 733, 31, 42, 45, 143, 420, 2539